group,departBinStart,departBinEnd,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID
west_bottleneck,69900,70200,63,136.9047619047619,285.12698412698415,-148.22222222222223,165.3015873015873,196.08833448381094,55,8,0,0,1,0,0,west_bottleneck_veh_000006
west_bottleneck,70200,70500,90,136.23333333333332,285.35555555555555,-149.12222222222223,178.23333333333332,215.02989456248997,80,10,0,0,2,0,0,west_bottleneck_veh_000099
west_bottleneck,70500,70800,90,138.27777777777777,276.14444444444445,-137.86666666666667,191.13333333333333,230.77362645386208,80,10,0,0,3,0,0,west_bottleneck_veh_000159
west_bottleneck,70800,71100,90,136.86666666666667,283.05555555555554,-146.1888888888889,192.65555555555557,240.75591604592213,80,10,0,0,8,0,0,west_bottleneck_veh_000315
west_bottleneck,71100,71400,90,136.9111111111111,289.1222222222222,-152.2111111111111,204.4111111111111,246.37331655662533,80,10,0,0,6,0,0,west_bottleneck_veh_000402
west_bottleneck,71400,71700,90,129.16666666666666,290.6,-161.43333333333334,194.76666666666668,243.53468838020683,80,10,0,0,10,0,0,west_bottleneck_veh_000483
west_bottleneck,71700,72000,90,109.5,279.73333333333335,-170.23333333333332,177.03333333333333,237.50487714290557,86,4,0,0,9,0,0,west_bottleneck_veh_000591
west_bottleneck,72000,72300,90,100.06666666666666,291.23333333333335,-191.16666666666666,191.16666666666666,236.95140148702785,90,0,0,0,9,0,0,west_bottleneck_veh_000618
west_bottleneck,72300,72600,90,99.13333333333334,273.1666666666667,-174.03333333333333,174.03333333333333,214.85656714293015,90,0,0,0,5,0,0,west_bottleneck_veh_000753
west_bottleneck,72600,72900,90,99.13333333333334,282.8666666666667,-183.73333333333332,183.73333333333332,221.5447785186753,90,0,0,0,4,0,0,west_bottleneck_veh_000807
west_bottleneck,72900,73200,90,100.06666666666666,284.0888888888889,-184.0222222222222,184.0222222222222,225.59875886183417,90,0,0,0,2,0,0,west_bottleneck_veh_000924
west_bottleneck,73200,73500,90,99.13333333333334,272.0777777777778,-172.94444444444446,172.94444444444446,215.22048126411102,90,0,0,0,6,0,0,west_bottleneck_veh_000969
west_bottleneck,73500,73800,90,99.13333333333334,241.9,-142.76666666666668,142.76666666666668,168.88375357689745,90,0,0,0,0,0,0,west_bottleneck_veh_001131
