group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
oversat_all,91530330da2b,-E4 -> -E0 -> -E13 -> -E14,-E4,-E14,4,334,177.81437125748502,549.3353293413173,-371.52095808383234,371.52694610778445,521.0973336505614,269.0,1086.0,1203.0,1460.0,333,1,54,0,80,0,46,oversat_all_veh_003467,149.0,1609.0,-1460.0,58000.0,67990.0,J21;J22,1.0
oversat_all,a8e523103c04,-E3 -> -E0 -> -E13 -> -E14,-E3,-E14,4,334,147.91017964071855,516.9640718562874,-369.05389221556885,369.05389221556885,606.8243686366407,123.0,1033.0,1615.0,1981.0,333,0,58,0,96,0,37,oversat_all_veh_003514,120.0,2101.0,-1981.0,58000.0,67990.0,J21;J22,1.0
oversat_all,8fec84d97ae3,-E5 -> -E13 -> E20 -> E19,-E5,E19,4,334,209.0868263473054,568.188622754491,-359.10179640718565,359.1616766467066,476.5210628642698,227.5,827.0,988.0,1436.0,332,2,63,0,94,0,16,oversat_all_veh_002850,238.0,1674.0,-1436.0,58000.0,67990.0,J21;J22,1.0
ALL,160fb44579b4,-E5 -> -E13 -> E12 -> -E11 -> -E18,-E5,-E18,5,1223,205.448896156991,561.0719542109566,-355.6230580539657,355.6852003270646,821.2433800577235,6.0,1611.0,2230.0,3435.0,1179,22,208,0,263,0,182,oversat_all_veh_002521,218.0,3653.0,-3435.0,0.0,103990.0,J17;J21;J22,1.0
oversat_all,09ec625f32b1,E9 -> -E12 -> -E14,E9,-E14,3,334,57.032934131736525,410.44610778443115,-353.41317365269464,353.41317365269464,464.7631680708031,283.5,735.0,924.0,1701.0,334,0,24,0,74,0,12,oversat_all_veh_001972,86.0,1787.0,-1701.0,58000.0,67990.0,J17;J21,1.0
oversat_all,5706b7fad304,E10 -> -E11 -> E16 -> E19,E10,E19,4,334,135.90718562874252,481.5688622754491,-345.6616766467066,345.6616766467066,377.26212317278595,356.5,541.0,593.0,758.0,334,0,0,0,88,0,0,oversat_all_veh_007509,107.0,865.0,-758.0,58000.0,67990.0,J17,1.0
ALL,1acb8cba4d57,-E2 -> -E13 -> E12 -> -E11 -> -E17,-E2,-E17,5,1223,150.45134914145544,458.61161079313166,-308.1602616516762,308.1602616516762,746.5777412928605,90.0,904.0,2189.0,3817.0,1222,0,135,0,165,0,120,oversat_all_veh_001246,150.0,3967.0,-3817.0,0.0,91990.0,J17;J21;J22,1.0
oversat_all,8522097d81df,E17 -> E11 -> -E10,E17,-E10,3,334,110.64071856287426,406.73353293413174,-296.0928143712575,296.0928143712575,338.9212677724769,237.0,518.0,602.0,913.0,334,0,1,0,40,0,0,oversat_all_veh_002580,135.0,1048.0,-913.0,58000.0,67990.0,J17,1.0
southwest_bottleneck,4130f8916f02,E18 -> E11 -> -E12 -> E13 -> E5,E18,E5,5,334,148.89820359281438,442.0658682634731,-293.16766467065867,293.16766467065867,302.5912343241627,305.5,368.0,407.0,440.0,334,0,0,0,0,0,0,southwest_bottleneck_veh_002068,120.0,560.0,-440.0,118000.0,127990.0,J17;J21;J22,1.0
oversat_all,4130f8916f02,E18 -> E11 -> -E12 -> E13 -> E5,E18,E5,5,334,420.0688622754491,668.1107784431138,-248.04191616766468,292.4251497005988,492.3416368997748,111.5,978.0,1236.0,1676.0,218,116,34,0,69,0,31,oversat_all_veh_003112,502.0,2178.0,-1676.0,58000.0,67990.0,J17;J21;J22,1.0
southwest_bottleneck,bc9c2e0fd984,E18 -> E11 -> -E12 -> -E14,E18,-E14,4,334,140.89820359281438,426.0928143712575,-285.1946107784431,285.1946107784431,296.7575322281336,298.5,362.0,408.0,507.0,334,0,0,0,1,0,0,southwest_bottleneck_veh_002067,112.0,619.0,-507.0,118000.0,127990.0,J17;J21,1.0
ALL,346fa50c7560,-E19 -> -E16 -> E11 -> -E10,-E19,-E10,4,1097,80.21330902461258,364.9361896080219,-284.7228805834093,284.7228805834093,549.9525139026621,8.0,960.0,1403.0,2000.0,1097,0,197,0,297,0,100,oversat_all_veh_006347,85.0,2085.0,-2000.0,0.0,115990.0,J17,1.0
west_bottleneck,5706b7fad304,E10 -> -E11 -> E16 -> E19,E10,E19,4,334,136.0868263473054,417.4820359281437,-281.3952095808383,281.3952095808383,308.11147760953423,270.5,452.0,501.0,687.0,334,0,0,0,35,0,0,west_bottleneck_veh_000591,107.0,794.0,-687.0,70000.0,79990.0,J17,1.0
oversat_all,36e8623f4e0a,E10 -> -E11 -> E16 -> E15 -> E4,E10,E4,5,334,228.78443113772454,490.5808383233533,-261.79640718562877,266.4251497005988,308.60523588683077,267.0,463.0,519.0,730.0,320,13,1,0,103,0,0,oversat_all_veh_003904,228.0,958.0,-730.0,58000.0,67990.0,J17,1.0
oversat_all,1018953d2ddc,-E3 -> -E0 -> E2,-E3,E2,3,334,103.08682634730539,368.6467065868263,-265.55988023952096,265.55988023952096,475.7680553746437,96.0,794.0,1378.0,1809.0,334,0,31,0,65,0,22,oversat_all_veh_003553,74.0,1883.0,-1809.0,58000.0,67990.0,J22,1.0
