group,departBinStart,departBinEnd,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID
free_all,900,1200,41,105.90243902439025,114.46341463414635,-8.560975609756097,8.609756097560975,21.220675605897465,40,1,0,0,0,0,0,free_all_veh_000238
free_all,1200,1500,82,105.63414634146342,112.95121951219512,-7.317073170731708,7.317073170731708,15.768137059953006,82,0,0,0,0,0,0,free_all_veh_000271
free_all,1500,1800,41,108.21951219512195,115.46341463414635,-7.2439024390243905,7.2926829268292686,16.332669639742782,39,1,0,0,0,0,0,free_all_veh_000360
free_all,1800,2100,82,107.7439024390244,113.23170731707317,-5.487804878048781,5.536585365853658,5.9530684852640405,80,2,0,0,0,0,0,free_all_veh_000408
free_all,2100,2400,41,106.41463414634147,116.46341463414635,-10.048780487804878,10.048780487804878,22.620948633361305,40,0,0,0,0,0,0,free_all_veh_000452
free_all,2400,2700,82,111.52439024390245,117.23170731707317,-5.7073170731707314,5.853658536585366,9.656288233012951,78,3,0,0,0,0,0,free_all_veh_000572
free_all,2700,3000,41,106.36585365853658,110.7560975609756,-4.390243902439025,4.390243902439025,4.74727136003975,39,0,0,0,0,0,0,free_all_veh_000575
free_all,3000,3300,82,110.07317073170732,115.54878048780488,-5.475609756097561,5.573170731707317,9.974968671630002,78,3,0,0,0,0,0,free_all_veh_000620
free_all,3300,3600,41,101.92682926829268,108.39024390243902,-6.463414634146342,6.7073170731707314,15.426458107942262,39,2,0,0,0,0,0,free_all_veh_000707
free_all,3600,3900,82,104.71951219512195,111.63414634146342,-6.914634146341464,6.939024390243903,15.591195138720398,81,1,0,0,0,0,0,free_all_veh_000779
free_all,3900,4200,41,110.4390243902439,116.36585365853658,-5.926829268292683,5.926829268292683,6.384050247372401,40,0,0,0,0,0,0,free_all_veh_000859
free_all,4200,4500,82,104.15853658536585,114.39024390243902,-10.231707317073171,10.28048780487805,21.82608642841148,80,2,0,0,0,0,0,free_all_veh_000919
free_all,4500,4800,41,121.82926829268293,116.58536585365853,5.2439024390243905,14.560975609756097,28.947808375697416,35,6,0,0,0,0,0,free_all_veh_000946
free_all,4800,5100,41,104.51219512195122,111.97560975609755,-7.463414634146342,7.463414634146342,15.811388300841896,40,0,0,0,0,0,0,free_all_veh_001005
free_all,5100,5400,82,109.29268292682927,117.3048780487805,-8.012195121951219,8.060975609756097,19.293939399743525,77,1,0,0,0,0,0,free_all_veh_001038
free_all,5400,5700,41,115.82926829268293,120.14634146341463,-4.317073170731708,4.365853658536586,4.672180250448705,39,1,0,0,0,0,0,free_all_veh_001146
free_all,5700,6000,82,106.42682926829268,111.70731707317073,-5.280487804878049,5.378048780487805,9.39576967602325,79,2,0,0,0,0,0,free_all_veh_001187
free_all,6000,6300,41,108.39024390243902,114.73170731707317,-6.341463414634147,6.341463414634147,12.74324306848296,39,0,0,0,0,0,0,free_all_veh_001235
free_all,6300,6600,82,106.59756097560975,114.6829268292683,-8.085365853658537,8.158536585365853,16.34349277533909,79,3,0,0,0,0,0,free_all_veh_001304
free_all,6600,6900,41,103.09756097560975,110.6829268292683,-7.585365853658536,7.585365853658536,16.991389498012538,39,0,0,0,0,0,0,free_all_veh_001360
free_all,6900,7200,82,107.53658536585365,113.91463414634147,-6.378048780487805,6.5,11.333632229439736,78,3,0,0,0,0,0,free_all_veh_001398
free_all,7200,7500,41,102.6829268292683,113.09756097560975,-10.414634146341463,10.463414634146341,22.237630159752886,40,1,0,0,0,0,0,free_all_veh_001484
free_all,7500,7800,82,113.29268292682927,118.6951219512195,-5.402439024390244,5.5,11.684365205003756,77,3,0,0,0,0,0,free_all_veh_001534
free_all,7800,8100,41,105.70731707317073,112.3170731707317,-6.609756097560975,6.7560975609756095,15.332891474722233,39,2,0,0,0,0,0,free_all_veh_001619
free_all,8100,8400,82,108.32926829268293,115.04878048780488,-6.719512195121951,6.7926829268292686,15.784756462656174,77,2,0,0,0,0,0,free_all_veh_001682
free_all,8400,8700,41,114.82926829268293,119.21951219512195,-4.390243902439025,4.536585365853658,4.908926662276567,40,1,0,0,0,0,0,free_all_veh_001761
free_all,8700,9000,82,104.5,110.5609756097561,-6.060975609756097,6.085365853658536,9.695988609829904,79,1,0,0,0,0,0,free_all_veh_001802
free_all,9000,9300,41,106.53658536585365,113.73170731707317,-7.195121951219512,7.2926829268292686,13.10092158366973,40,1,0,0,0,0,0,free_all_veh_001850
free_all,9300,9600,82,105.60975609756098,112.7439024390244,-7.134146341463414,7.2073170731707314,12.119828542617219,80,2,0,0,0,0,0,free_all_veh_001951
free_all,9600,9900,41,104.3170731707317,112.02439024390245,-7.7073170731707314,7.7073170731707314,14.277732962084189,41,0,0,0,0,0,0,free_all_veh_001990
free_all,9900,10200,41,104.6829268292683,112.0,-7.317073170731708,7.365853658536586,14.756561169899157,39,1,0,0,0,0,0,free_all_veh_002013
heavy_all,45900,46200,164,111.71341463414635,119.26219512195122,-7.548780487804878,8.585365853658537,17.239348072105845,149,10,0,0,0,0,0,heavy_all_veh_000124
heavy_all,46200,46500,246,111.5691056910569,118.4308943089431,-6.861788617886178,11.926829268292684,22.55183730549816,214,27,0,0,0,0,0,heavy_all_veh_000406
heavy_all,46500,46800,246,113.5,120.73577235772358,-7.235772357723577,11.227642276422765,21.349777706807192,221,16,0,0,0,0,0,heavy_all_veh_000575
