group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
ALL,9ad069c9b349,E9 -> -E12 -> E13 -> E5,E9,E5,4,1223,112.82829108748977,259.3426001635323,-146.5143090760425,146.53556827473426,287.3895237275078,81.0,340.0,741.0,1900.0,1222,1,64,0,87,0,21,oversat_all_veh_001970,183.0,2083.0,-1900.0,0.0,79990.0,J17;J21;J22,1.0
ALL,e3621f02f2a0,-E5 -> -E13 -> -E14,-E5,-E14,3,1223,91.12019623875716,224.35159443990187,-133.2313982011447,133.25756336876532,298.0173075801713,11.0,452.0,790.0,1513.0,1204,13,58,0,95,0,31,oversat_all_veh_002847,64.0,1577.0,-1513.0,0.0,103990.0,J21;J22,1.0
ALL,09ec625f32b1,E9 -> -E12 -> -E14,E9,-E14,3,1223,56.82583810302535,184.32542927228127,-127.49959116925592,127.49959116925592,248.89210605780656,53.0,348.0,587.0,1701.0,1221,0,24,0,74,0,12,oversat_all_veh_001972,86.0,1787.0,-1701.0,0.0,79990.0,J17;J21,1.0
ALL,a8e523103c04,-E3 -> -E0 -> -E13 -> -E14,-E3,-E14,4,1097,140.3701002734731,257.96080218778485,-117.59070191431177,117.6472196900638,335.0342463345431,7.0,211.0,842.0,1981.0,1074,21,58,0,96,0,37,oversat_all_veh_003514,120.0,2101.0,-1981.0,0.0,115990.0,J21;J22,1.0
ALL,91530330da2b,-E4 -> -E0 -> -E13 -> -E14,-E4,-E14,4,1097,172.31814038286234,289.2680036463081,-116.94986326344576,116.97174111212398,287.60483879780054,6.0,367.0,678.0,1460.0,1080,7,54,0,80,0,46,oversat_all_veh_003467,149.0,1609.0,-1460.0,0.0,103990.0,J21;J22,1.0
ALL,11815a0a0294,E10 -> -E11 -> -E17,E10,-E17,3,1223,89.8119378577269,198.46443172526574,-108.65249386753884,108.65249386753884,165.79221349015657,68.0,294.0,363.0,554.0,1223,0,0,0,3,0,0,oversat_all_veh_007593,93.0,647.0,-554.0,0.0,79990.0,J17,1.0
ALL,18927aaae3eb,E18 -> E11 -> -E9,E18,-E9,3,1097,160.04375569735643,253.20510483135826,-93.16134913400182,108.1330902461258,205.19849207191328,24.0,246.0,427.0,1233.0,913,184,11,0,45,0,3,oversat_all_veh_003273,351.0,1584.0,-1233.0,0.0,127990.0,J17,1.0
ALL,8fec84d97ae3,-E5 -> -E13 -> E20 -> E19,-E5,E19,4,1223,202.70237121831562,305.7914963205233,-103.08912510220769,103.10547833197056,249.22935678060793,6.0,354.0,709.0,1436.0,1221,2,63,0,94,0,16,oversat_all_veh_002850,238.0,1674.0,-1436.0,0.0,103990.0,J21;J22,1.0
ALL,1018953d2ddc,-E3 -> -E0 -> E2,-E3,E2,3,1097,107.22151321786691,192.4831358249772,-85.2616226071103,85.41841385597083,262.6467380810441,7.0,156.0,553.0,1809.0,1096,1,31,0,65,0,22,oversat_all_veh_003553,74.0,1883.0,-1809.0,0.0,115990.0,J22,1.0
ALL,e6c16ff10116,-E4 -> -E0 -> E2,-E4,E2,3,1097,71.76207839562443,148.85870556061988,-77.09662716499544,77.09662716499544,191.88728032375045,8.0,228.0,358.0,1158.0,1097,0,22,0,33,0,16,oversat_all_veh_004248,104.0,1262.0,-1158.0,0.0,103990.0,J22,1.0
ALL,d91d5067468b,E9 -> -E11 -> E16 -> E15 -> E4,E9,E4,5,1223,127.47506132461162,183.38021259198692,-55.90515126737531,72.7391659852821,105.98052089645942,70.0,184.0,199.0,372.0,1030,166,0,0,0,0,0,west_bottleneck_veh_001065,61.0,433.0,-372.0,0.0,79990.0,J17,1.0
ALL,6ee37cdd0209,E9 -> -E11 -> -E18,E9,-E18,3,1223,62.634505314799675,130.221586263287,-67.58708094848733,67.58708094848733,96.327727426409,73.0,178.0,186.0,357.0,1223,0,0,0,0,0,0,west_bottleneck_veh_001112,39.0,396.0,-357.0,0.0,79990.0,J17,1.0
ALL,1a4078e69256,E14 -> E12 -> -E9,E14,-E9,3,1223,93.53965658217498,148.426001635323,-54.886345053148,56.783319705641865,147.75468608756208,6.0,188.0,368.0,1185.0,1209,14,6,0,25,0,3,oversat_all_veh_003782,91.0,1276.0,-1185.0,0.0,91990.0,J17;J21,1.0
ALL,3f6007450fd6,E18 -> E16 -> E15 -> E4,E18,E4,4,1097,120.97538742023701,95.88058340929808,25.094804010938926,26.429352780309937,42.924314898206596,5.0,76.0,77.0,165.0,121,920,0,0,0,0,0,light_all_seed2_veh_001306,309.0,144.0,165.0,0.0,127990.0,,0.0
ALL,e104febbb46d,-E19 -> -E20 -> E13 -> E5,-E19,E5,4,1097,79.742935278031,96.45852324521422,-16.715587967183225,16.870556061987237,31.459846932341886,7.0,73.0,75.0,184.0,1096,1,0,0,0,0,0,oversat_all_veh_013357,78.0,262.0,-184.0,0.0,115990.0,J21;J22,1.0
ALL,cc35ab4813b4,E17 -> E16 -> E15 -> E3,E17,E3,4,1097,98.92433910665451,106.30628988149499,-7.381950774840474,15.179580674567001,27.78547852337651,6.0,65.0,73.0,85.0,976,91,0,0,0,0,0,southwest_bottleneck_veh_002334,68.0,153.0,-85.0,0.0,127990.0,,0.0
